Article,Mean Accuracy@1,Mean Accuracy@5,Mean Accuracy@10
ARTÍCULO 107.,0.8,1.0,1.0
ARTÍCULO 108.,0.2,0.2,0.2
ARTÍCULO 109.,1.0,1.0,1.0
ARTÍCULO 110.,0.4,0.4,0.6
ARTÍCULO 111.,1.0,1.0,1.0
ARTÍCULO 112.,0.0,0.2,0.2
ARTÍCULO 113.,0.6,0.6,0.6
ARTÍCULO 114.,0.75,0.75,0.75
ARTÍCULO 115.,0.75,0.75,0.75
ARTÍCULO 116.,0.75,0.75,0.75
ARTÍCULO 117.,1.0,1.0,1.0
ARTÍCULO 118.,1.0,1.0,1.0
ARTÍCULO 119.,1.0,1.0,1.0
ARTÍCULO 120.,0.75,0.75,0.75
ARTÍCULO 121.,1.0,1.0,1.0
ARTÍCULO 122.,0.5,1.0,1.0
ARTÍCULO 123.,1.0,1.0,1.0
ARTÍCULO 124.,0.5,0.75,1.0
ARTÍCULO 125.,1.0,1.0,1.0
ARTÍCULO 126.,1.0,1.0,1.0
ARTÍCULO 127.,1.0,1.0,1.0
ARTÍCULO 128.,0.75,0.75,0.75
ARTÍCULO 129.,0.25,0.75,1.0
ARTÍCULO 130.,0.0,0.0,0.0
ARTÍCULO 131.,0.0,0.0,0.5
ARTÍCULO 132.,0.16666666666666666,0.3333333333333333,0.3333333333333333
ARTÍCULO 133.,0.0,0.1,0.3
ARTÍCULO 134.,0.1,0.1,0.2
ARTÍCULO 135.,0.1,0.3,0.3
ARTÍCULO 136.,0.3,0.6,0.9
ARTÍCULO 137.,0.2,0.6,0.6
ARTÍCULO 138.,0.4,0.7,0.7
ARTÍCULO 139.,0.2,0.3,0.4
ARTÍCULO 140.,0.0,0.0,0.0
ARTÍCULO 141.,1.0,1.0,1.0
ARTÍCULO 142.,0.0,0.75,0.75
ARTÍCULO 143.,0.3,0.5,0.5
ARTÍCULO 144.,0.1,0.3,1.0
ARTÍCULO 145.,0.6666666666666666,0.6666666666666666,1.0
ARTÍCULO 146.,1.0,1.0,1.0
ARTÍCULO 147.,0.0,0.3333333333333333,0.3333333333333333
ARTÍCULO 148.,0.0,0.0,0.0
ARTÍCULO 149.,0.0,0.0,0.0
ARTÍCULO 150.,0.0,0.0,0.0
ARTÍCULO 151.,0.75,0.75,0.75
ARTÍCULO 152.,0.5,0.5,0.5
ARTÍCULO 153.,0.3333333333333333,0.3333333333333333,0.3333333333333333
ARTÍCULO 154.,0.0,0.0,0.0
ARTÍCULO 155.,0.25,0.25,0.5
ARTÍCULO 156.,0.0,0.0,0.25
ARTÍCULO 157.,0.0,0.0,0.25
ARTÍCULO 158.,0.5,0.5,1.0
ARTÍCULO 159.,1.0,1.0,1.0
ARTÍCULO 160.,1.0,1.0,1.0
ARTÍCULO 161.,0.0,0.0,0.0
ARTÍCULO 162.,0.5,1.0,1.0
ARTÍCULO 163.,0.25,0.5,0.75
ARTÍCULO 164.,0.0,0.3333333333333333,1.0
ARTÍCULO 165.,0.5,0.75,0.75
ARTÍCULO 166.,0.0,0.0,0.5
ARTÍCULO 167.,0.0,0.0,0.0
ARTÍCULO 168.,0.0,1.0,1.0
ARTÍCULO 169.,0.5,1.0,1.0
ARTÍCULO 170.,0.5,1.0,1.0
ARTÍCULO 171.,0.0,0.4,1.0
ARTÍCULO 172.,0.0,0.0,0.0
ARTÍCULO 173.,0.0,0.0,0.0
ARTÍCULO 174.,0.0,0.0,1.0
ARTÍCULO 175.,0.0,0.2,0.2
ARTÍCULO 176.,0.0,0.0,0.0
ARTÍCULO 177.,0.0,0.0,0.0
ARTÍCULO 178.,0.5,0.5,0.5
ARTÍCULO 179.,1.0,1.0,1.0
ARTÍCULO 180.,1.0,1.0,1.0
ARTÍCULO 181.,0.5,0.5,0.5
ARTÍCULO 182.,0.3333333333333333,0.3333333333333333,0.3333333333333333
ARTÍCULO 183.,0.3333333333333333,0.6666666666666666,0.6666666666666666
ARTÍCULO 184.,0.3333333333333333,0.3333333333333333,0.6666666666666666
ARTÍCULO 185.,0.0,0.0,0.0
ARTÍCULO 186.,0.0,0.0,0.0
ARTÍCULO 187.,0.3333333333333333,0.3333333333333333,0.3333333333333333
ARTÍCULO 188.,0.75,1.0,1.0
ARTÍCULO 189.,0.5,1.0,1.0
ARTÍCULO 190.,1.0,1.0,1.0
ARTÍCULO 191.,0.0,0.0,0.0
ARTÍCULO 192.,1.0,1.0,1.0
ARTÍCULO 193.,0.4,0.8,0.8
ARTÍCULO 194.,0.3333333333333333,0.3333333333333333,0.6666666666666666
